date,exchange,market_type,trading_pair,volume
2022-12-10,bittrex,spot,steem/usdt,486.88002385352087
2022-12-10,binance,spot,ocean/usdt,3387587.522082072
2022-12-10,bittrex,spot,part/btc,5757.596167148684
2022-12-10,binance,spot,chess/btc,92556.00436157412
2022-12-10,kraken,spot,kint/eur,149.54799905564732
2022-12-10,kucoin,spot,elf/btc,102173.17024303906
2022-12-10,kraken,spot,sand/gbp,70.10181196537181
2022-12-10,binance,spot,chz/btc,886737.1480045025
2022-12-10,bittrex,spot,ctxc/btc,120.78441566526269
2022-12-10,binance,spot,atom/brl,207633.52555818064
2022-12-10,binance,spot,ctxc/btc,2420072.648656927
2022-12-10,kraken,spot,fet/usdt,101953.38104658196
2022-12-10,binance,spot,adx/btc,16408.09618000529
2022-12-10,kucoin,spot,axp/btc,125.35610853413785
2022-12-10,binance,spot,multi/btc,186412.6950401482
2022-12-10,coinbase,spot,mts/usdt,5002.867146606703
2022-12-10,binance,spot,dash/bnb,143796.08899571374
2022-12-10,binance,spot,wtc/usdt,256992.08758420145
2022-12-10,kucoin,spot,aave/btc,1378.0285101179727
2022-12-10,binance,spot,amp/btc,340250.60432127427
2022-12-10,bittrex,spot,vbk/btc,4.44099250782936
2022-12-10,binance,spot,atom/try,555636.5017096649
20221210,bitstamp,spot,audio/usd,7911.466840404135
2022-12-10,coinbase,spot,lqty/usdt,1271.7901151375956
2022-12-10,binance,spot,psg/btc,26028.05214145276
2022-12-10,coinbase,spot,ach/usd,188865.11953749997
2022-12-10,kucoin,spot,dag/eth,5618.527774564531
2022-12-10,bittrex,spot,emc2/btc,498.407933434622
2022-12-10,kucoin,spot,vaiot/usdt,248589.58284319213
2022-12-10,binance,spot,fet/usdt,19993724.909830607
2022-12-10,coinbase,spot,media/usd,302424.7081499999
2022-12-10,coinbase,spot,drep/usd,8157.484547000003
20221210,bitstamp,spot,xrp/btc,78196.85172515489
2022-12-10,binance,spot,stpt/busd,3125881.4456822546
2022-12-10,kucoin,spot,zil/usdt,45415.52830572104
2022-12-10,coinbase,spot,aave/btc,10750.958699595378
