2022-12-10,binance,spot,IDEX/BTC,149914.52823127955
2022-12-10,binance,spot,KNC/USDT,984975.0242268881
2022-12-10,bittrex,spot,guts/btc,377.17888549007716
2022-12-10,kucoin,spot,ela/eth,31.367977573828142
2022-12-10,coinbase,spot,mir/usd,223365.0113028447
2022-12-10,binance,spot,ACA/BUSD,281021.8043004731
2022-12-10,binance,spot,OM/BUSD,2318949.9951752243
2022-12-10,binance,spot,GRT/TRY,4458713.115454108
2022-12-10,binance,spot,REEF/BUSD,1818603.6510766107
2022-12-10,binance,spot,OMG/ETH,15800.958009211576
2022-12-10,kucoin,spot,enq/btc,9014.263328147024
2022-12-10,kucoin,spot,ada/btc,57014.0741372891
2022-12-10,coinbase,spot,orn/btc,5710.183749421697
2022-12-10,kucoin,spot,eth/dai,17478.779510619985
2022-12-10,bittrex,spot,xvg/eth,215.58316289346843
2022-12-10,kucoin,spot,stg/usdt,8008.168221924369
2022-12-10,binance,spot,WAVES/ETH,21291.693554969224
2022-12-10,binance,spot,GAL/TRY,288762.34314536495
2022-12-10,kucoin,spot,knc/btc,440.96833315999845
2022-12-10,coinbase,spot,stg/usdt,803.273850918733
2022-12-10,bittrex,spot,solve/usd,297.2466998978129
20221210,bitstamp,spot,nexo/eur,140.06089300143756
2022-12-10,binance,spot,HBAR/BUSD,589839.6252446085
2022-12-10,binance,spot,XLM/ETH,36426.98678236845
2022-12-10,kraken,spot,WAVES-ETH,398.64319680974404
2022-12-10,bittrex,spot,gny/btc,307.1093310388754
2022-12-10,kraken,spot,ADA-BTC,24336.368333176433
2022-12-10,kraken,spot,RARI-EUR,2497.531469225946
2022-12-10,binance,spot,MDT/BTC,2021790.2904696784
2022-12-10,binance,spot,HBAR/USDT,1254747.3837225093
2022-12-10,coinbase,spot,ksm/usdt,261.0985709530325
20221210,bitstamp,spot,hbar/usd,6377.244143567569
2022-12-10,binance,spot,STMX/BUSD,182674.35458393005
2022-12-10,kucoin,spot,dyp/usdt,92346.9183404061
2022-12-10,binance,spot,IOTA/ETH,170959.9029981289
2022-12-10,kucoin,spot,algo/usdc,51884.072783694915
2022-12-10,kucoin,spot,omg/eth,85.29360706902305
2022-12-10,binance,spot,FORC/BTC,100878.70745386691
2022-12-10,bittrex,spot,btc/eur,329614.8470437373
20221210,bitstamp,spot,btc/eur,1565886.0881973554
2022-12-10,deribit,perpetual-future,btc/usdc,853230.934015059
2022-12-10,kucoin,spot,dappt/usdt,8998.085654021837
2022-12-10,bittrex,spot,0mtc/btc,162.01720213404715
2022-12-10,binance,spot,BLZ/USDT,608009.9097196371
2022-12-10,coinbase,spot,ada/btc,16209.221690489974
2022-12-10 00:00:00.000,gemini,spot,lqty/usd,23.20711744459307
2022-12-10,kraken,spot,XRP-AUD,100989.32569894865
2022-12-10,coinbase,spot,ela/usdt,1246.1288441341896
2022-12-10,kraken,spot,RUNE-USD,79310.45382824342
2022-12-10,kraken,spot,BTC-CHF,358424.71101454046
2022-12-10,coinbase,spot,perp/usdt,10429.462789333642
2022-12-10,binance,spot,JST/BUSD,234597.80857828291
2022-12-10,binance,spot,ERN/BNB,193904.56192229112
2022-12-10,bittrex,spot,celo/usd,72.7322412
